['2016010420', 'METAR', 'SBGL', '042000Z', '13014KT', '9999', 'VCSH', 'FEW025', 'FEW030TCU', 'BKN040', 'X', '27', '19', 'Q1014=']
['2016010421', 'METAR', 'SBGL', '042100Z', '11012KT', '9999', 'VCSH', 'FEW025', 'FEW030TCU', 'BKN040', 'X', '26', '19', 'Q1015=']
['2016010422', 'METAR', 'SBGL', '042200Z', '10014KT', '9999', 'X', 'FEW025', 'BKN040', 'X', 'X', '26', '18', 'Q1015=']
['2016010423', 'METAR', 'SBGL', '042300Z', '08015KT', '9999', 'X', 'FEW025', 'BKN040', 'X', 'X', '26', '18', 'Q1016=']
['2016010500', 'METAR', 'SBGL', '050000Z', '10012KT', '9999', 'X', 'FEW030', 'BKN070', 'X', 'X', '25', '18', 'Q1017=']
['2016010501', 'METAR', 'SBGL', '050100Z', '12011KT', '9999', 'X', 'FEW020', 'SCT070', 'X', 'X', '25', '19', 'Q1017=']
['2016010502', 'METAR', 'SBGL', '050200Z', '12010KT', '9999', 'X', 'FEW020', 'SCT080', 'X', 'X', '25', '19', 'Q1018=']
['2016010503', 'METAR', 'SBGL', '050300Z', '12010KT', '9999', 'X', 'FEW020', 'BKN080', 'X', 'X', '24', '19', 'Q1017=']
['2016010504', 'METAR', 'SBGL', '050400Z', '12005KT', '9999', 'X', 'FEW020', 'SCT080', 'X', 'X', '24', '19', 'Q1017=']
['2016010505', 'METAR', 'SBGL', '050500Z', '11006KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '19', 'Q1016=']
['2016010506', 'METAR', 'SBGL', '050600Z', '11004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '19', 'Q1015=']
['2016010507', 'METAR', 'SBGL', '050700Z', '03001KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '22', '19', 'Q1015=']
['2016010508', 'METAR', 'SBGL', '050800Z', '33002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '22', '19', 'Q1016=']
['2016010509', 'METAR', 'SBGL', '050900Z', '33002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '22', '19', 'Q1016=']
['2016010510', 'METAR', 'SBGL', '051000Z', '36003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '19', 'Q1017=']
['2016010511', 'METAR', 'SBGL', '051100Z', '01005KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '25', '19', 'Q1017=']
['2016010512', 'METAR', 'SBGL', '051200Z', '01007KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '26', '17', 'Q1017=']
['2016010513', 'METAR', 'SBGL', '051300Z', '01010KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '27', '18', 'Q1018=']
